row-number,field,issue-type,value
1,entry-date,default,2021-01-22
2,entry-date,default,2021-01-22
3,entry-date,default,2021-01-22
4,entry-date,default,2021-01-22
5,entry-date,default,2021-01-22
6,entry-date,default,2021-01-22
7,entry-date,default,2021-01-22
8,entry-date,default,2021-01-22
9,entry-date,default,2021-01-22
10,entry-date,default,2021-01-22
11,entry-date,default,2021-01-22
12,entry-date,default,2021-01-22
13,entry-date,default,2021-01-22
14,entry-date,default,2021-01-22
15,entry-date,default,2021-01-22
16,entry-date,default,2021-01-22
17,entry-date,default,2021-01-22
18,entry-date,default,2021-01-22
19,entry-date,default,2021-01-22
20,entry-date,default,2021-01-22
21,entry-date,default,2021-01-22
22,entry-date,default,2021-01-22
23,entry-date,default,2021-01-22
24,entry-date,default,2021-01-22
25,entry-date,default,2021-01-22
26,entry-date,default,2021-01-22
27,entry-date,default,2021-01-22
28,entry-date,default,2021-01-22
29,entry-date,default,2021-01-22
30,entry-date,default,2021-01-22
31,entry-date,default,2021-01-22
32,entry-date,default,2021-01-22
33,entry-date,default,2021-01-22
34,entry-date,default,2021-01-22
35,entry-date,default,2021-01-22
36,entry-date,default,2021-01-22
37,entry-date,default,2021-01-22
38,entry-date,default,2021-01-22
39,entry-date,default,2021-01-22
40,entry-date,default,2021-01-22
41,entry-date,default,2021-01-22
42,entry-date,default,2021-01-22
43,entry-date,default,2021-01-22
44,entry-date,default,2021-01-22
45,entry-date,default,2021-01-22
46,entry-date,default,2021-01-22
47,entry-date,default,2021-01-22
48,entry-date,default,2021-01-22
49,entry-date,default,2021-01-22
50,entry-date,default,2021-01-22
51,entry-date,default,2021-01-22
52,entry-date,default,2021-01-22
53,entry-date,default,2021-01-22
54,entry-date,default,2021-01-22
55,entry-date,default,2021-01-22
56,entry-date,default,2021-01-22
57,entry-date,default,2021-01-22
58,entry-date,default,2021-01-22
59,entry-date,default,2021-01-22
60,entry-date,default,2021-01-22
61,entry-date,default,2021-01-22
62,entry-date,default,2021-01-22
63,entry-date,default,2021-01-22
64,entry-date,default,2021-01-22
65,entry-date,default,2021-01-22
66,entry-date,default,2021-01-22
67,entry-date,default,2021-01-22
68,entry-date,default,2021-01-22
69,entry-date,default,2021-01-22
70,entry-date,default,2021-01-22
71,entry-date,default,2021-01-22
72,entry-date,default,2021-01-22
73,entry-date,default,2021-01-22
74,entry-date,default,2021-01-22
75,entry-date,default,2021-01-22
76,entry-date,default,2021-01-22
77,entry-date,default,2021-01-22
78,entry-date,default,2021-01-22
79,entry-date,default,2021-01-22
80,entry-date,default,2021-01-22
81,entry-date,default,2021-01-22
82,entry-date,default,2021-01-22
83,entry-date,default,2021-01-22
84,entry-date,default,2021-01-22
85,entry-date,default,2021-01-22
86,entry-date,default,2021-01-22
87,entry-date,default,2021-01-22
88,entry-date,default,2021-01-22
89,entry-date,default,2021-01-22
90,entry-date,default,2021-01-22
91,entry-date,default,2021-01-22
92,entry-date,default,2021-01-22
93,entry-date,default,2021-01-22
94,entry-date,default,2021-01-22
95,entry-date,default,2021-01-22
96,entry-date,default,2021-01-22
97,entry-date,default,2021-01-22
98,entry-date,default,2021-01-22
99,entry-date,default,2021-01-22
100,entry-date,default,2021-01-22
101,entry-date,default,2021-01-22
102,entry-date,default,2021-01-22
103,entry-date,default,2021-01-22
104,entry-date,default,2021-01-22
105,entry-date,default,2021-01-22
106,entry-date,default,2021-01-22
107,entry-date,default,2021-01-22
108,entry-date,default,2021-01-22
109,entry-date,default,2021-01-22
110,entry-date,default,2021-01-22
111,entry-date,default,2021-01-22
112,entry-date,default,2021-01-22
113,entry-date,default,2021-01-22
114,entry-date,default,2021-01-22
115,entry-date,default,2021-01-22
116,entry-date,default,2021-01-22
117,entry-date,default,2021-01-22
118,entry-date,default,2021-01-22
119,entry-date,default,2021-01-22
120,entry-date,default,2021-01-22
121,entry-date,default,2021-01-22
122,entry-date,default,2021-01-22
123,entry-date,default,2021-01-22
124,entry-date,default,2021-01-22
125,entry-date,default,2021-01-22
126,entry-date,default,2021-01-22
127,entry-date,default,2021-01-22
128,entry-date,default,2021-01-22
129,entry-date,default,2021-01-22
130,entry-date,default,2021-01-22
131,entry-date,default,2021-01-22
132,entry-date,default,2021-01-22
133,entry-date,default,2021-01-22
134,entry-date,default,2021-01-22
135,entry-date,default,2021-01-22
136,entry-date,default,2021-01-22
137,entry-date,default,2021-01-22
138,entry-date,default,2021-01-22
139,entry-date,default,2021-01-22
140,entry-date,default,2021-01-22
141,entry-date,default,2021-01-22
142,entry-date,default,2021-01-22
143,entry-date,default,2021-01-22
144,entry-date,default,2021-01-22
145,entry-date,default,2021-01-22
146,entry-date,default,2021-01-22
147,entry-date,default,2021-01-22
148,entry-date,default,2021-01-22
149,entry-date,default,2021-01-22
150,entry-date,default,2021-01-22
151,entry-date,default,2021-01-22
152,entry-date,default,2021-01-22
153,entry-date,default,2021-01-22
154,entry-date,default,2021-01-22
155,entry-date,default,2021-01-22
156,entry-date,default,2021-01-22
157,entry-date,default,2021-01-22
158,entry-date,default,2021-01-22
159,entry-date,default,2021-01-22
160,entry-date,default,2021-01-22
161,entry-date,default,2021-01-22
162,entry-date,default,2021-01-22
163,entry-date,default,2021-01-22
164,entry-date,default,2021-01-22
165,entry-date,default,2021-01-22
166,entry-date,default,2021-01-22
167,entry-date,default,2021-01-22
168,entry-date,default,2021-01-22
169,entry-date,default,2021-01-22
170,entry-date,default,2021-01-22
171,entry-date,default,2021-01-22
172,entry-date,default,2021-01-22
173,entry-date,default,2021-01-22
174,entry-date,default,2021-01-22
